,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,id,file
15_9,0.345720784641941,"[0.5, 0.42857142857142855, 0.3333333333333333, 0.2]",1.0,1.3333333333333333,8,6,15_9,15
15_10,0.0,"[0.5, 0.4, 0.25, 0.0]",1.0,1.0,6,6,15_10,15
15_11,0.5475182535069453,"[0.8, 0.75, 0.6666666666666666, 0.5]",0.8187307530779819,0.8333333333333334,5,6,15_11,15
15_12,0.0,"[0.6, 0.25, 0.0, 0.0]",0.8187307530779819,0.8333333333333334,5,6,15_12,15
15_13,0.0,"[0.36, 0.16666666666666666, 0.043478260869565216, 0.0]",0.8869204367171576,0.8928571428571429,25,28,15_13,15
16_0,0.027489444731707165,"[0.2631578947368421, 0.10666666666666667, 0.04054054054054054, 0.0273972602739726]",0.36787944117144233,0.5,76,152,16_0,16
16_1,0.0,"[0.4, 0.041666666666666664, 0.0, 0.0]",0.7557837414557255,0.78125,25,32,16_1,16
16_2,0.0,"[0.3333333333333333, 0.0, 0.0, 0.0]",0.558035145770047,0.631578947368421,12,19,16_2,16
16_3,0.0,"[0.13333333333333333, 0.0, 0.0, 0.0]",0.6703200460356393,0.7142857142857143,15,21,16_3,16
16_4,0.6147881529512643,"[0.7142857142857143, 0.6666666666666666, 0.6, 0.5]",1.0,1.0,7,7,16_4,16
16_5,0.5169731539571706,"[0.625, 0.5714285714285714, 0.5, 0.4]",1.0,1.0,8,8,16_5,16
16_6,0.6147881529512643,"[0.7142857142857143, 0.6666666666666666, 0.6, 0.5]",1.0,1.0,7,7,16_6,16
16_7,0.5081327481546147,"[0.6666666666666666, 0.6, 0.5, 0.3333333333333333]",1.0,1.0,6,6,16_7,16
16_8,0.0,"[0.13333333333333333, 0.07142857142857142, 0.0, 0.0]",0.8751733190429475,0.8823529411764706,15,17,16_8,16
16_9,0.44632361378533286,"[0.5555555555555556, 0.5, 0.42857142857142855, 0.3333333333333333]",1.0,1.2857142857142858,9,7,16_9,16
16_10,0.0,"[0.16666666666666666, 0.0, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,16_10,16
16_11,0.0,"[0.0, 0.0, 0.0, 0.0]",0.4723665527410147,0.5714285714285714,4,7,16_11,16
16_12,0.10281679137204142,"[0.45454545454545453, 0.23809523809523808, 0.15, 0.10526315789473684]",0.5056967074374725,0.5945945945945946,22,37,16_12,16
16_13,0.0,"[0.0392156862745098, 0.0, 0.0, 0.0]",1.0,7.285714285714286,51,7,16_13,16
17_0,0.0,"[0.2727272727272727, 0.013157894736842105, 0.0, 0.0]",0.3775599276970476,0.506578947368421,77,152,17_0,17
17_1,0.32702929224554894,"[0.3888888888888889, 0.35294117647058826, 0.3125, 0.26666666666666666]",1.0,2.25,18,8,17_1,17
17_2,0.0,"[0.2, 0.05263157894736842, 0.0, 0.0]",0.9048374180359595,0.9090909090909091,20,22,17_2,17
17_3,0.0,"[0.375, 0.2, 0.07142857142857142, 0.0]",0.8290291181804004,0.8421052631578947,16,19,17_3,17
17_4,0.0,"[0.5, 0.2857142857142857, 0.0, 0.0]",1.0,1.1428571428571428,8,7,17_4,17
17_5,0.0,"[0.3888888888888889, 0.058823529411764705, 0.0, 0.0]",0.6411803884299546,0.6923076923076923,18,26,17_5,17
17_6,0.0,"[0.16666666666666666, 0.0, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,17_6,17
17_7,0.0,"[0.4375, 0.13333333333333333, 0.0, 0.0]",0.7788007830714049,0.8,16,20,17_7,17
17_8,0.0,"[0.3333333333333333, 0.0, 0.0, 0.0]",0.513417119032592,0.6,9,15,17_8,17
17_9,0.0,"[0.5217391304347826, 0.18181818181818182, 0.047619047619047616, 0.0]",1.0,1.0,23,23,17_9,17
17_10,0.4347208719449914,"[0.7142857142857143, 0.5, 0.4, 0.25]",1.0,1.0,7,7,17_10,17
17_11,0.0,"[0.0, 0.0, 0.0, 0.0]",0.4723665527410147,0.5714285714285714,4,7,17_11,17
17_12,0.0,"[0.38461538461538464, 0.08333333333333333, 0.0, 0.0]",0.5836454781435741,0.65,13,20,17_12,17
17_13,0.0,"[0.23529411764705882, 0.0, 0.0, 0.0]",0.8890097654027757,0.8947368421052632,17,19,17_13,17
18_0,0.02151165303218587,"[0.2631578947368421, 0.08, 0.04054054054054054, 0.0136986301369863]",0.36787944117144233,0.5,76,152,18_0,18
18_1,0.025590159040508702,"[0.045454545454545456, 0.034482758620689655, 0.023255813953488372, 0.011764705882352941]",1.0,14.666666666666666,88,6,18_1,18
18_2,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.2857142857142858,9,7,18_2,18
18_3,0.0,"[0.5714285714285714, 0.3333333333333333, 0.0, 0.0]",1.0,1.0,7,7,18_3,18
18_4,0.0,"[0.48, 0.16666666666666666, 0.0, 0.0]",0.7866278610665535,0.8064516129032258,25,31,18_4,18
18_5,0.7598356856515925,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",1.0,1.0,6,6,18_5,18
