,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,id,file
7_12,0.10917972766929775,"[0.38095238095238093, 0.2, 0.10526315789473684, 0.05555555555555555]",0.751477293075286,0.7777777777777778,21,27,7_12,7
7_13,0.0,"[0.23529411764705882, 0.0, 0.0, 0.0]",0.9428731438548749,0.9444444444444444,17,18,7_13,7
8_0,0.0,"[0.203125, 0.047619047619047616, 0.0, 0.0]",0.25283959580474646,0.42105263157894735,64,152,8_0,8
8_1,0.0,"[0.3333333333333333, 0.125, 0.0, 0.0]",1.0,1.5,9,6,8_1,8
8_2,0.0,"[0.37037037037037035, 0.038461538461538464, 0.0, 0.0]",1.0,1.0,27,27,8_2,8
8_3,0.15107799178100703,"[0.5714285714285714, 0.2962962962962963, 0.07692307692307693, 0.04]",1.0,1.0,28,28,8_3,8
8_4,0.0,"[0.35, 0.10526315789473684, 0.0, 0.0]",0.8607079764250577,0.8695652173913043,20,23,8_4,8
8_5,0.0,"[0.2727272727272727, 0.047619047619047616, 0.0, 0.0]",0.6951439283988786,0.7333333333333333,22,30,8_5,8
8_6,0.0,"[0.3125, 0.06666666666666667, 0.0, 0.0]",0.6872892787909722,0.7272727272727273,16,22,8_6,8
8_7,0.0,"[0.19047619047619047, 0.05, 0.0, 0.0]",0.9534969548334766,0.9545454545454546,21,22,8_7,8
8_8,0.2636664715093213,"[0.5909090909090909, 0.42857142857142855, 0.3, 0.15789473684210525]",0.7967034698934615,0.8148148148148148,22,27,8_8,8
8_9,0.0,"[0.4090909090909091, 0.14285714285714285, 0.0, 0.0]",1.0,1.0,22,22,8_9,8
8_10,0.2159287855104448,"[0.44, 0.20833333333333334, 0.17391304347826086, 0.13636363636363635]",1.0,1.0416666666666667,25,24,8_10,8
8_11,0.0,"[0.25, 0.1111111111111111, 0.0, 0.0]",1.0,1.2727272727272727,28,22,8_11,8
8_12,0.0,"[0.5, 0.2857142857142857, 0.0, 0.0]",0.6872892787909722,0.7272727272727273,8,11,8_12,8
8_13,0.5169731539571706,"[0.625, 0.5714285714285714, 0.5, 0.4]",1.0,1.0,8,8,8_13,8
9_0,0.0,"[0.2698412698412698, 0.016129032258064516, 0.0, 0.0]",0.24348537187522873,0.4144736842105263,63,152,9_0,9
9_1,0.44632361378533286,"[0.5555555555555556, 0.5, 0.42857142857142855, 0.3333333333333333]",1.0,1.2857142857142858,9,7,9_1,9
9_2,0.0,"[0.4230769230769231, 0.12, 0.0, 0.0]",1.0,1.1304347826086956,26,23,9_2,9
9_3,0.02716039444148304,"[0.04819277108433735, 0.036585365853658534, 0.024691358024691357, 0.0125]",1.0,11.857142857142858,83,7,9_3,9
9_4,0.0,"[0.4444444444444444, 0.25, 0.0, 0.0]",1.0,1.2857142857142858,9,7,9_4,9
9_5,0.0,"[0.024096385542168676, 0.0, 0.0, 0.0]",1.0,11.857142857142858,83,7,9_5,9
9_6,0.44632361378533286,"[0.5555555555555556, 0.5, 0.42857142857142855, 0.3333333333333333]",1.0,1.2857142857142858,9,7,9_6,9
9_7,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.2857142857142858,9,7,9_7,9
9_8,0.0,"[0.125, 0.08695652173913043, 0.045454545454545456, 0.0]",1.0,3.4285714285714284,24,7,9_8,9
9_9,0.0,"[0.42857142857142855, 0.05, 0.0, 0.0]",0.788127627745311,0.8076923076923077,21,26,9_9,9
9_10,0.0,"[0.08333333333333333, 0.0, 0.0, 0.0]",0.6065306597126334,0.6666666666666666,12,18,9_10,9
9_11,0.0,"[0.13333333333333333, 0.06896551724137931, 0.03571428571428571, 0.0]",1.0,5.0,30,6,9_11,9
9_12,0.0,"[0.47368421052631576, 0.1111111111111111, 0.058823529411764705, 0.0]",0.6563555554708402,0.7037037037037037,19,27,9_12,9
9_13,0.0,"[0.014925373134328358, 0.0, 0.0, 0.0]",1.0,22.333333333333332,134,6,9_13,9
10_0,0.0,"[0.08, 0.0, 0.0, 0.0]",0.13002871087842596,0.32894736842105265,50,152,10_0,10
10_1,0.5081327481546147,"[0.6666666666666666, 0.6, 0.5, 0.3333333333333333]",1.0,1.0,6,6,10_1,10
10_2,0.0,"[0.17857142857142858, 0.037037037037037035, 0.0, 0.0]",0.9310627797040228,0.9333333333333333,28,30,10_2,10
10_3,0.5081327481546147,"[0.6666666666666666, 0.6, 0.5, 0.3333333333333333]",1.0,1.0,6,6,10_3,10
10_4,0.14420730256479242,"[0.5238095238095238, 0.25, 0.10526315789473684, 0.05555555555555555]",0.8668778997501817,0.875,21,24,10_4,10
10_5,0.0,"[0.5, 0.3333333333333333, 0.0, 0.0]",0.6065306597126334,0.6666666666666666,4,6,10_5,10
10_6,0.0,"[0.36363636363636365, 0.14285714285714285, 0.0, 0.0]",0.7967034698934615,0.8148148148148148,22,27,10_6,10
10_7,0.0,"[0.07692307692307693, 0.0, 0.0, 0.0]",0.50041992036057,0.5909090909090909,13,22,10_7,10
10_8,0.0,"[0.021739130434782608, 0.01098901098901099, 0.0, 0.0]",1.0,15.333333333333334,92,6,10_8,10
10_9,0.0,"[0.2, 0.0, 0.0, 0.0]",1.0,1.6666666666666667,10,6,10_9,10
10_10,0.0,"[0.4117647058823529, 0.125, 0.06666666666666667, 0.0]",0.7026185226629954,0.7391304347826086,17,23,10_10,10
10_11,0.5081327481546147,"[0.6666666666666666, 0.6, 0.5, 0.3333333333333333]",1.0,1.0,6,6,10_11,10
10_12,0.0,"[0.35714285714285715, 0.0, 0.0, 0.0]",0.6065306597126334,0.6666666666666666,14,21,10_12,10
10_13,0.0,"[0.6363636363636364, 0.3, 0.0, 0.0]",0.40289032152913307,0.5238095238095238,11,21,10_13,10
11_0,0.0,"[0.11764705882352941, 0.011834319526627219, 0.0, 0.0]",1.0,1.118421052631579,170,152,11_0,11
11_1,0.0,"[0.18181818181818182, 0.09523809523809523, 0.0, 0.0]",1.0,3.6666666666666665,22,6,11_1,11
11_2,0.7598356856515925,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",1.0,1.0,6,6,11_2,11
11_3,0.0,"[0.46153846153846156, 0.16666666666666666, 0.0, 0.0]",0.5404329964865341,0.6190476190476191,13,21,11_3,11
11_4,0.0,"[0.5, 0.2857142857142857, 0.0, 0.0]",1.0,1.3333333333333333,8,6,11_4,11
11_5,0.0,"[0.23076923076923078, 0.0, 0.0, 0.0]",0.50041992036057,0.5909090909090909,13,22,11_5,11
11_6,0.345720784641941,"[0.5, 0.42857142857142855, 0.3333333333333333, 0.2]",1.0,1.3333333333333333,8,6,11_6,11
11_7,0.0,"[0.25, 0.0, 0.0, 0.0]",1.0,1.3333333333333333,8,6,11_7,11
11_8,0.0,"[0.375, 0.14285714285714285, 0.0, 0.0]",1.0,1.1428571428571428,8,7,11_8,11
11_9,0.41113361690051975,"[0.5714285714285714, 0.5, 0.4, 0.25]",1.0,1.0,7,7,11_9,11
11_10,0.0,"[0.375, 0.14285714285714285, 0.0, 0.0]",1.0,1.3333333333333333,8,6,11_10,11
11_11,0.0,"[0.375, 0.06666666666666667, 0.0, 0.0]",0.6065306597126334,0.6666666666666666,16,24,11_11,11
11_12,0.0,"[0.5714285714285714, 0.3333333333333333, 0.2, 0.0]",1.0,1.0,7,7,11_12,11
11_13,0.029162215977262252,"[0.043478260869565216, 0.03508771929824561, 0.02654867256637168, 0.017857142857142856]",1.0,16.428571428571427,115,7,11_13,11
12_0,0.0,"[0.3617021276595745, 0.06451612903225806, 0.010869565217391304, 0.0]",0.5395492141873537,0.618421052631579,94,152,12_0,12
12_1,0.0,"[0.3333333333333333, 0.07142857142857142, 0.0, 0.0]",0.4493289641172217,0.5555555555555556,15,27,12_1,12
12_2,0.0,"[0.4, 0.1111111111111111, 0.0, 0.0]",0.36787944117144233,0.5,10,20,12_2,12
12_3,0.6147881529512643,"[0.7142857142857143, 0.6666666666666666, 0.6, 0.5]",1.0,1.1666666666666667,7,6,12_3,12
12_4,0.0,"[0.25, 0.0, 0.0, 0.0]",1.0,1.6,8,5,12_4,12
12_5,0.0,"[0.5714285714285714, 0.3333333333333333, 0.2, 0.0]",1.0,1.1666666666666667,7,6,12_5,12
12_6,0.0,"[0.2692307692307692, 0.08, 0.041666666666666664, 0.0]",0.925961078642316,0.9285714285714286,26,28,12_6,12
12_7,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",0.7165313105737893,0.75,21,28,12_7,12
