,Human,LLM,LLM cc,EasyOCR,EasyOCR cc,Pytesseract,Pytesseract cc,KerasOCR,KerasOCR cc
Human,0.0,0.9707964601769912,0.982378640776699,0.982718204488778,0.9877494199535963,0.9676,0.9805279503105591,0.9983163265306122,0.998298969072165
LLM,0.9707964601769912,0.0,0.95125,0.99,0.98865625,0.9851685393258427,0.9894036697247707,0.9916455696202532,0.9914285714285714
LLM cc,0.982378640776699,0.95125,0.0,0.9963868613138687,0.9978,0.9978846153846154,0.9983076923076923,1.0,1.0
EasyOCR,0.982718204488778,0.99,0.9963868613138687,0.0,0.9762790697674418,0.9796774193548388,0.9761764705882353,0.993452380952381,0.9947410358565737
EasyOCR cc,0.9877494199535963,0.98865625,0.9978,0.9762790697674418,0.0,0.9866935483870968,0.9828888888888889,0.994043321299639,0.9952173913043478
Pytesseract,0.9676,0.9851685393258427,0.9978846153846154,0.9796774193548388,0.9866935483870968,0.0,0.9575903614457831,0.9900751879699248,0.9899236641221374
Pytesseract cc,0.9805279503105591,0.9894036697247707,0.9983076923076923,0.9761764705882353,0.9828888888888889,0.9575903614457831,0.0,0.9883529411764705,0.9902366863905325
KerasOCR,0.9983163265306122,0.9916455696202532,1.0,0.993452380952381,0.994043321299639,0.9900751879699248,0.9883529411764705,0.0,0.41374999999999995
KerasOCR cc,0.998298969072165,0.9914285714285714,1.0,0.9947410358565737,0.9952173913043478,0.9899236641221374,0.9902366863905325,0.41374999999999995,0.0
