,Human,LLM,LLM cc,EasyOCR,EasyOCR cc,Pytesseract,Pytesseract cc,KerasOCR,KerasOCR cc
Human,0.0,0.98109375,0.9473404255319149,0.98109375,0.9816222760290557,0.9563728813559322,0.9743065693430657,0.993125,0.9948167539267015
LLM,0.98109375,0.0,0.94,0.9919838056680161,0.9928519855595668,0.9867241379310345,0.9942105263157894,1.0,1.0
LLM cc,0.9473404255319149,0.94,0.0,0.9898461538461538,0.9885416666666667,0.9746153846153847,0.9853082191780822,1.0,1.0
EasyOCR,0.98109375,0.9919838056680161,0.9898461538461538,0.0,0.979825327510917,0.9799447513812155,0.9823717948717948,0.9889075630252101,0.990253164556962
EasyOCR cc,0.9816222760290557,0.9928519855595668,0.9885416666666667,0.979825327510917,0.0,0.983248730964467,0.9806275303643724,0.9888764044943821,0.9900751879699248
Pytesseract,0.9563728813559322,0.9867241379310345,0.9746153846153847,0.9799447513812155,0.983248730964467,0.0,0.943008356545961,0.9861676646706586,0.9880722891566265
Pytesseract cc,0.9743065693430657,0.9942105263157894,0.9853082191780822,0.9823717948717948,0.9806275303643724,0.943008356545961,0.0,0.9866544117647059,0.9890808823529412
KerasOCR,0.993125,1.0,1.0,0.9889075630252101,0.9888764044943821,0.9861676646706586,0.9866544117647059,0.0,0.4044444444444445
KerasOCR cc,0.9948167539267015,1.0,1.0,0.990253164556962,0.9900751879699248,0.9880722891566265,0.9890808823529412,0.4044444444444445,0.0
