,Model,CER
0,gpt-4o,1.0982078313827515
1,gpt-4o,1.1032980680465698
2,gpt-4o,1.1678107976913452
3,gpt-4o,1.181545376777649
4,gpt-4o,1.145780086517334
5,gpt-4o,1.1026333570480347
6,gpt-4o,1.1180400848388672
7,gpt-4o,1.3213483095169067
8,gpt-4o,1.141382098197937
9,gpt-4o,1.2126892805099487
10,gpt-4o,1.1722028255462646
11,gpt-4o,1.1631399393081665
12,gpt-4o,1.2415169477462769
13,gpt-4o,1.1483819484710693
14,gpt-4o,1.1367392539978027
15,gpt-4o,1.1232367753982544
16,gpt-4o,1.1376343965530396
17,gpt-4o,1.126259207725525
18,gpt-4o,1.1443299055099487
19,gpt-4o,1.1963434219360352
20,claude-3-5-sonnet-20240620,1.1456023454666138
21,claude-3-5-sonnet-20240620,1.1351183652877808
22,claude-3-5-sonnet-20240620,1.1563200950622559
23,claude-3-5-sonnet-20240620,1.1596009731292725
24,claude-3-5-sonnet-20240620,1.1210461854934692
25,claude-3-5-sonnet-20240620,1.1149752140045166
26,claude-3-5-sonnet-20240620,1.146245002746582
27,claude-3-5-sonnet-20240620,1.1165049076080322
28,claude-3-5-sonnet-20240620,1.1262906789779663
29,claude-3-5-sonnet-20240620,1.1312828063964844
30,claude-3-5-sonnet-20240620,1.063811182975769
31,claude-3-5-sonnet-20240620,1.1076573133468628
32,claude-3-5-sonnet-20240620,1.150695562362671
33,claude-3-5-sonnet-20240620,1.108164668083191
34,claude-3-5-sonnet-20240620,1.1014275550842285
35,claude-3-5-sonnet-20240620,1.1336302757263184
36,claude-3-5-sonnet-20240620,1.0748865604400635
37,claude-3-5-sonnet-20240620,1.1249160766601562
38,claude-3-5-sonnet-20240620,1.1215250492095947
39,claude-3-5-sonnet-20240620,1.0895283222198486
40,EasyOCR,1.1068408489227295
41,EasyOCR,1.1311594247817993
42,EasyOCR,1.1359447240829468
43,EasyOCR,1.1413484811782837
44,EasyOCR,1.1372013092041016
45,EasyOCR,1.0905689001083374
46,EasyOCR,1.0905383825302124
47,EasyOCR,1.1552547216415405
48,EasyOCR,1.061939001083374
49,EasyOCR,1.1265486478805542
50,EasyOCR,1.089709758758545
51,EasyOCR,1.105263113975525
52,EasyOCR,1.1062546968460083
53,EasyOCR,1.1548709869384766
54,EasyOCR,1.1258621215820312
55,EasyOCR,1.1211864948272705
56,EasyOCR,1.1280335187911987
57,EasyOCR,1.1283891201019287
58,EasyOCR,1.097497820854187
59,EasyOCR,1.0978763103485107
60,Pytesseract,1.0638703107833862
61,Pytesseract,1.021327018737793
62,Pytesseract,1.0573887825012207
63,Pytesseract,1.0664112567901611
64,Pytesseract,1.0512499809265137
65,Pytesseract,1.0839768648147583
66,Pytesseract,1.0830860137939453
67,Pytesseract,1.101694941520691
68,Pytesseract,1.0161638259887695
69,Pytesseract,1.0490307807922363
70,Pytesseract,1.0441718101501465
71,Pytesseract,1.0864917039871216
72,Pytesseract,1.0646352767944336
73,Pytesseract,1.060702919960022
74,Pytesseract,1.0308219194412231
75,Pytesseract,0.9783439636230469
76,Pytesseract,1.0328947305679321
77,Pytesseract,1.0270270109176636
78,Pytesseract,1.031377911567688
79,Pytesseract,1.073170781135559
80,KerasOCR,0.9503448009490967
81,KerasOCR,0.9636913537979126
82,KerasOCR,0.9675140976905823
83,KerasOCR,0.9571183323860168
84,KerasOCR,0.9472891688346863
85,KerasOCR,0.9744744896888733
86,KerasOCR,0.9680672287940979
87,KerasOCR,0.9668049812316895
88,KerasOCR,0.9530332684516907
89,KerasOCR,0.960644006729126
90,KerasOCR,0.9726651310920715
91,KerasOCR,0.9565972089767456
92,KerasOCR,0.965467631816864
93,KerasOCR,0.9646182656288147
94,KerasOCR,0.9616087675094604
95,KerasOCR,0.9710391759872437
96,KerasOCR,0.965798020362854
97,KerasOCR,0.9629629850387573
98,KerasOCR,0.9588550925254822
99,KerasOCR,0.9492900371551514
