,Human,LLM,LLM cc,EasyOCR,EasyOCR cc,Pytesseract,Pytesseract cc,KerasOCR,KerasOCR cc
Human,0.0,1.0250784158706665,1.0978915691375732,1.1203064918518066,1.0809595584869385,1.033270001411438,1.0790035724639893,0.9598338007926941,0.9681440591812134
LLM,1.2674418687820435,0.0,1.135658860206604,1.1434108018875122,1.116279125213623,1.116279125213623,1.0852713584899902,0.9573643207550049,0.9573643207550049
LLM cc,1.2482876777648926,0.9071207642555237,0.0,1.1623263359069824,1.196061611175537,1.1519274711608887,1.1900684833526611,0.9654036164283752,0.9489291310310364
EasyOCR,1.2442553043365479,1.0102739334106445,1.139574408531189,0.0,1.115744709968567,1.1399317979812622,1.1429786682128906,0.9666666388511658,0.9566666483879089
EasyOCR cc,1.2314261198043823,1.070631980895996,1.196061611175537,1.1399999856948853,0.0,1.154913306236267,1.1725021600723267,0.9645270109176636,0.9510135054588318
Pytesseract,1.4025806188583374,1.2307692766189575,1.3109676837921143,1.292903184890747,1.289032220840454,0.0,1.2129032611846924,0.953153133392334,0.9567567706108093
Pytesseract cc,1.345164179801941,1.25,1.2954334020614624,1.263405442237854,1.2783985137939453,1.1989796161651611,0.0,0.9483747482299805,0.9483747482299805
KerasOCR,6.1327433586120605,4.940000057220459,5.185840606689453,5.1327433586120605,5.053097248077393,4.681416034698486,4.38938045501709,0.0,0.8495575189590454
KerasOCR cc,6.185840606689453,4.940000057220459,5.097345352172852,5.079646110534668,4.982300758361816,4.69911527633667,4.38938045501709,0.8495575189590454,0.0
