,Human,LLM,LLM cc,EasyOCR,EasyOCR cc,Pytesseract,Pytesseract cc,KerasOCR,KerasOCR cc
Human,0.0,1.1423150300979614,1.0708661079406738,1.123367190361023,1.1216859817504883,1.0353773832321167,1.085629940032959,0.9714285731315613,0.9687034487724304
LLM,1.1850394010543823,0.0,0.9527559280395508,1.0452755689620972,1.0590550899505615,1.0452755689620972,1.07677161693573,0.9744094610214233,0.9744094610214233
LLM cc,1.1056910753250122,0.9837398529052734,0.0,1.0081300735473633,0.9186992049217224,0.934959352016449,1.1382113695144653,0.9593495726585388,0.9674796462059021
EasyOCR,1.2246835231781006,1.1670329570770264,0.9538461565971375,0.0,1.157436728477478,1.1873239278793335,1.1233333349227905,0.9668508172035217,0.9671533107757568
EasyOCR cc,1.251896858215332,1.2424942255020142,0.9262295365333557,1.2001640796661377,0.0,1.1858789920806885,1.206658959388733,0.9651837348937988,0.9557692408561707
Pytesseract,1.294985294342041,1.243559718132019,0.9504132270812988,1.2433627843856812,1.2138643264770508,0.0,1.2094395160675049,0.9609929323196411,0.9575220942497253
Pytesseract cc,1.320958137512207,1.3341463804244995,1.284403681755066,1.2107784748077393,1.2586826086044312,1.1884057521820068,0.0,0.9569471478462219,0.9532163739204407
KerasOCR,6.271844863891602,6.036585330963135,5.61904764175415,5.097087383270264,4.84466028213501,5.262135982513428,4.747572898864746,0.0,0.8543689250946045
KerasOCR cc,6.25,6.036585330963135,5.666666507720947,5.096153736114502,4.778846263885498,5.20192289352417,4.70192289352417,0.8543689250946045,0.0
